Id,Postcode,Latitude,Longitude
273,MK3 6DR,51.994082,-0.739539
274,MK6 5LP,52.027987,-0.752148
275,PL1 5QG,50.373877,-4.167558
276,NR2 2LJ,52.618144,1.286325
277,NR28 9JL,52.819813,1.38584
278,GL7 1XA,51.71269,-1.986058
279,SE4 2NL,51.46729,-0.039597
280,SE13 5GE,51.463789,-0.002705
281,RH10 1HR,51.113088,-0.188053
282,PO19 1SB,50.83492,-0.787766
283,S41 7NG,53.240256,-1.425048
284,CH65 7BF,53.279394,-2.908272
285,CW2 8AB,53.089011,-2.454971
286,CM2 9DE,51.720498,0.471888
287,CM2 0JQ,51.724823,0.46648
288,BS14 0BD,51.410935,-2.592405
289,BS1 5UA,51.450934,-2.60573
290,SK6 7QY,53.390868,-2.070978
291,LU5 4HG,51.890763,-0.518838
292,WN5 7BG,53.523316,-2.709037
293,WA9 1JF,53.444096,-2.733327
294,WA10 3RN,53.447715,-2.751231
295,PR1 4HD,53.757096,-2.688869
296,M24 2GL,53.564162,-2.183311
297,NE9 6RZ,54.930937,-1.576827
298,WC1X 8RA,51.526904,-0.118793
299,N15 4RU,51.586212,-0.072418
300,N7 0SP,51.55494,-0.119209
301,E10 5BS,51.570286,-0.012066
302,W3 8LQ,51.49998,-0.289646
303,SE19 2BS,51.417322,-0.069162
304,EN1 4RQ,51.680381,-0.057168
305,PE29 1BL,52.33844,-0.178105
306,CB4 2QT,52.235278,0.13434
307,SS8 9RZ,51.531859,0.586168
308,SS1 1BJ,51.535233,0.711128
309,BR2 7PR,51.383657,0.010806
310,ST15 0BF,52.887116,-2.182162
311,SR1 3NX,54.903545,-1.384952
312,SR3 4AH,54.892128,-1.409322
313,NE63 9RG,55.173252,-1.557403
314,NE20 0AQ,55.089246,-1.766375
315,TS25 5PF,54.676459,-1.230283
316,WV6 0DU,52.589175,-2.156804
317,DN21 2RF,53.404641,-0.777325
318,DN17 1AJ,53.578566,-0.66672
319,DH8 5EE,54.850056,-1.835926
320,DE7 5JS,52.971098,-1.311997
321,DE1 3PA,52.925427,-1.479429
322,DE24 8JE,52.916014,-1.459
323,DE7 6DN,52.957366,-1.420946
324,DL1 1DR,54.530122,-1.5417
325,CR0 8SD,51.374396,-0.054776
326,PE16 6UU,52.450081,0.052614
327,LS19 7UG,53.865131,-1.663787
328,BD23 1US,53.963392,-2.036742
329,WA10 6JR,53.46521,-2.756224
330,CR5 1YA,51.30567,-0.120724
331,PL25 4DJ,50.346492,-4.785002
332,PL12 4AE,50.407178,-4.228093
333,TR7 2LZ,50.410492,-5.06836
334,EX9 7BY,50.67027,-3.316708
335,TR15 3RD,50.226842,-5.27584
336,PL17 8PB,50.546156,-4.321801
337,TR14 0AB,50.223377,-5.301305
338,TR11 3QS,50.152897,-5.074229
339,PL1 3QG,50.369076,-4.16312
340,CW12 4NS,53.165771,-2.246493
341,WV4 5DG,52.561323,-2.136628
342,GU15 4AE,51.349723,-0.721691
343,CO3 3LL,51.893517,0.888574
344,WV8 1PQ,52.629909,-2.186986
345,TS3 8BT,54.571494,-1.195476
346,CO15 3JL,51.799348,1.141844
347,HX1 3UZ,53.719527,-1.874416
348,M43 7EU,53.486548,-2.127577
349,BL9 0BG,53.587602,-2.296091
350,DE14 3RL,52.799844,-1.63046
351,BB12 0AN,53.793909,-2.24807
352,SL6 6QR,51.529697,-0.799839
353,TN4 9SH,51.142679,0.247921
354,NR1 1DL,52.62367,1.315558
355,NN15 6ER,52.388412,-0.71174
356,MK42 9AH,52.133347,-0.468552
357,BA3 4RW,51.270922,-2.485415
358,BA1 1UP,51.379717,-2.362652
359,RG21 8TN,51.26336,-1.095958
360,S75 1BP,53.55982,-1.48368
361,S70 5NQ,53.528502,-1.472987
362,S70 2YW,53.551618,-1.482797
363,S70 2AX,53.556624,-1.482572
364,N14 6BS,51.630407,-0.129527
365,NW9 4BS,51.598473,-0.245604
366,EN5 4AZ,51.652379,-0.2003
367,RM7 0XU,51.56033,0.174564
368,B7 4AG,52.488426,-1.885391
369,BD1 4HR,53.795619,-1.752574
370,TS7 8AR,54.540335,-1.199613
371,BD18 3LA,53.838325,-1.787715
372,CA11 0AH,54.67166,-2.788515
373,YO23 3FR,53.920657,-1.161491
374,OL6 9RL,53.492067,-2.075504
375,NG17 8HP,53.110663,-1.26956
376,PE6 7JX,52.63752,-0.302747
377,GU34 2LX,51.156172,-0.975771
378,RG12 1DJ,51.416324,-0.744655
379,GU1 1EZ,51.246075,-0.569872
380,GU3 3PE,51.272311,-0.622042
381,GU9 8LU,51.208088,-0.793071
382,OX16 9QA,52.059484,-1.344846
383,RG1 4HJ,51.454143,-0.955431
384,OX1 1SA,51.749548,-1.264524
385,OX29 9UU,51.819954,-1.475285
